date,ticker,signal,entry,stop_loss,target,range_size,exit_price,exit_reason,shares,gross_pnl,costs,net_pnl,win
2024-06-27,NIFTY,BUY,23965.8,23806.1,24125.5,159.7,24045.6,TIME,4.1726,332.97,95.68,237.3,True
2024-06-27,TCS.NS,BUY,3851.5,3818.1,3884.9,33.4,3884.9,TARGET,25.9639,867.19,95.83,771.36,True
2024-06-28,ICICIBANK.NS,SELL,1215.7,1223.4,1208.0,7.7,1208.0,TARGET,82.2571,633.38,95.46,537.92,True
2024-06-28,RELIANCE.NS,BUY,1564.07,1533.95,1594.2,30.12,1564.62,TIME,63.9358,35.48,95.59,-60.1,False
2024-07-01,HDFCBANK.NS,BUY,849.4,841.0,857.8,8.4,852.83,TIME,117.7302,403.23,95.7,307.53,True
2024-07-01,INFY.NS,BUY,1579.0,1560.4,1597.6,18.6,1597.6,TARGET,63.3312,1177.96,95.92,1082.04,True
2024-07-01,NIFTY,BUY,24095.7,23992.95,24198.45,102.75,24147.4,TIME,4.1501,214.56,95.64,118.92,True
2024-07-01,RELIANCE.NS,SELL,1561.28,1579.0,1543.55,17.72,1558.6,TIME,64.05,171.66,95.55,76.11,True
2024-07-01,TCS.NS,BUY,3958.75,3899.35,4018.15,59.4,3978.0,TIME,25.2605,486.26,95.72,390.54,True
2024-07-02,ICICIBANK.NS,SELL,1193.45,1214.5,1172.4,21.05,1190.15,TIME,83.7907,276.51,95.52,180.98,True
2024-07-02,INFY.NS,BUY,1614.0,1590.05,1637.95,23.95,1621.4,TIME,61.9579,458.49,95.71,362.78,True
2024-07-03,RELIANCE.NS,SELL,1550.7,1575.0,1526.4,24.3,1552.38,TIME,64.487,-108.02,95.6,-203.61,False
2024-07-04,HDFCBANK.NS,SELL,869.15,879.4,858.9,10.25,863.6,TIME,115.0549,638.56,95.46,543.1,True
2024-07-04,ICICIBANK.NS,BUY,1226.75,1214.55,1238.95,12.2,1233.1,TIME,81.5162,517.63,95.73,421.9,True
2024-07-04,TCS.NS,BUY,4025.0,3982.55,4067.45,42.45,4020.0,TIME,24.8447,-124.22,95.54,-219.77,False
2024-07-05,HDFCBANK.NS,SELL,827.12,841.62,812.62,14.5,823.97,TIME,120.9014,380.24,95.51,284.73,True
2024-07-05,NIFTY,BUY,24258.85,24169.45,24348.25,89.4,24348.25,TARGET,4.1222,368.53,95.69,272.84,True
2024-07-05,RELIANCE.NS,BUY,1575.0,1548.15,1601.85,26.85,1589.88,TIME,63.4921,944.44,95.85,848.59,True
2024-07-09,ICICIBANK.NS,BUY,1238.0,1229.3,1246.7,8.7,1246.7,TARGET,80.7754,702.75,95.78,606.96,True
2024-07-09,NIFTY,BUY,24385.1,24335.25,24434.95,49.85,24434.95,TARGET,4.1009,204.43,95.64,108.79,True
2024-07-09,RELIANCE.NS,SELL,1590.82,1599.97,1581.67,9.15,1581.67,TARGET,62.8607,575.18,95.47,479.71,True
2024-07-10,NIFTY,SELL,24312.65,24457.6,24167.7,144.95,24167.7,TARGET,4.1131,596.19,95.46,500.73,True
2024-07-10,RELIANCE.NS,SELL,1574.72,1596.45,1553.0,21.72,1584.97,TIME,63.5034,-651.23,95.7,-746.93,False
2024-07-10,TCS.NS,SELL,3957.3,4003.3,3911.3,46.0,3911.3,TARGET,25.2698,1162.41,95.35,1067.05,True
2024-07-11,HDFCBANK.NS,SELL,805.55,811.5,799.6,5.95,811.5,STOP,124.1388,-738.63,95.72,-834.35,False
2024-07-11,ICICIBANK.NS,SELL,1241.6,1257.7,1225.5,16.1,1225.5,TARGET,80.5412,1296.71,95.33,1201.38,True
2024-07-11,TCS.NS,SELL,3922.1,3980.0,3864.2,57.9,3931.3,TIME,25.4965,-234.57,95.62,-330.19,False
2024-07-12,INFY.NS,BUY,1688.0,1667.85,1708.15,20.15,1708.15,TARGET,59.2417,1193.72,95.93,1097.79,True
2024-07-12,TCS.NS,BUY,4044.25,4010.7,4077.8,33.55,4077.8,TARGET,24.7265,829.57,95.82,733.75,True
2024-07-16,RELIANCE.NS,SELL,1583.72,1599.6,1567.85,15.88,1575.47,TIME,63.1425,520.61,95.48,425.13,True
2024-07-18,ICICIBANK.NS,BUY,1248.3,1234.4,1262.2,13.9,1251.05,TIME,80.1089,220.3,95.64,124.66,True
2024-07-18,INFY.NS,BUY,1745.35,1720.0,1770.7,25.35,1759.5,TIME,57.2951,810.73,95.81,714.91,True
2024-07-18,NIFTY,BUY,24678.35,24515.8,24840.9,162.55,24515.8,STOP,4.0521,-658.67,95.39,-754.06,False
2024-07-18,TCS.NS,BUY,4220.8,4167.05,4274.55,53.75,4274.55,TARGET,23.6922,1273.46,95.95,1177.51,True
2024-07-19,INFY.NS,SELL,1794.6,1825.0,1764.2,30.4,1793.6,TIME,55.7227,55.72,95.57,-39.84,False
2024-07-19,NIFTY,SELL,24684.2,24853.8,24514.6,169.6,24530.4,TIME,4.0512,623.07,95.46,527.61,True
2024-07-19,RELIANCE.NS,SELL,1566.5,1583.5,1549.5,17.0,1554.4,TIME,63.8366,772.42,95.43,676.99,True
2024-07-22,INFY.NS,BUY,1812.05,1793.45,1830.65,18.6,1812.8,TIME,55.1861,41.39,95.59,-54.2,False
2024-07-22,RELIANCE.NS,SELL,1509.0,1530.65,1487.35,21.65,1500.0,TIME,66.2691,596.42,95.46,500.96,True
2024-07-23,HDFCBANK.NS,SELL,812.05,822.03,802.07,9.98,808.7,TIME,123.1451,412.53,95.5,317.04,True
2024-07-23,NIFTY,SELL,24445.95,24580.95,24310.95,135.0,24310.95,TARGET,4.0907,552.24,95.47,456.77,True
2024-07-23,RELIANCE.NS,SELL,1490.5,1505.68,1475.32,15.18,1475.32,TARGET,67.0916,1018.45,95.38,923.07,True
2024-07-24,ICICIBANK.NS,SELL,1217.55,1233.25,1201.85,15.7,1224.1,TIME,82.1322,-537.96,95.68,-633.64,False
