range_size_pct,orb_body_ratio,orb_upper_wick_ratio,orb_lower_wick_ratio,gap_pct,orb_volume,volume_ratio,day_of_week,signal_encoded,ticker_encoded,date,ticker,signal,label
1.1613,0.7813,0.0,0.2187,-1.019,1164206.0,1.1204,3,0,1,2024-08-08,INFY.NS,SELL,TARGET
0.6415,0.6434,0.1743,0.1823,-0.2442,1563225.0,1.1343,3,0,0,2024-08-08,RELIANCE.NS,SELL,TIME
1.095,0.5674,0.0791,0.3535,0.9339,0.0,0.0,4,1,0,2024-08-09,RELIANCE.NS,BUY,TIME
0.6177,0.1902,0.2195,0.5902,0.203,0.0,0.0,0,1,3,2024-08-12,HDFCBANK.NS,BUY,TARGET
0.7054,0.7719,0.0,0.2281,-1.9578,7677428.0,3.3398,1,0,3,2024-08-13,HDFCBANK.NS,SELL,TARGET
1.1141,0.374,0.5153,0.1107,0.8187,2741386.0,1.5969,1,0,4,2024-08-13,ICICIBANK.NS,SELL,TIME
0.7233,0.3893,0.1145,0.4962,0.4789,2080591.0,2.0023,2,1,1,2024-08-14,INFY.NS,BUY,TARGET
2.0486,0.7393,0.0,0.2607,0.4003,1154244.0,3.2666,2,1,2,2024-08-14,TCS.NS,BUY,TIME
1.365,0.5217,0.413,0.0652,-0.0084,0.0,0.0,0,0,4,2024-08-19,ICICIBANK.NS,SELL,TIME
1.4865,0.2574,0.2098,0.5328,0.2242,0.0,0.0,0,1,2,2024-08-19,TCS.NS,BUY,TIME
0.6665,0.7078,0.0868,0.2055,0.0735,0.0,0.0,1,1,3,2024-08-20,HDFCBANK.NS,BUY,TIME
1.2075,0.6294,0.0385,0.3322,-0.0978,1401889.0,0.8166,1,1,4,2024-08-20,ICICIBANK.NS,BUY,TIME
0.552,0.46,0.522,0.018,-0.1574,276882.0,0.7836,2,1,2,2024-08-21,TCS.NS,BUY,STOP
0.4525,0.2056,0.1402,0.6542,0.4766,0.0,0.0,3,1,4,2024-08-22,ICICIBANK.NS,BUY,TARGET
0.613,0.6054,0.2306,0.164,0.0693,0.0,0.0,3,0,2,2024-08-22,TCS.NS,SELL,TARGET
0.9417,0.0442,0.3673,0.5885,0.3526,1735463.0,1.0109,4,1,4,2024-08-23,ICICIBANK.NS,BUY,TIME
0.7888,0.682,0.0858,0.2322,0.3867,0.0,0.0,0,1,0,2024-08-26,RELIANCE.NS,BUY,TIME
0.9747,0.4748,0.3571,0.1681,-0.243,0.0,0.0,1,1,4,2024-08-27,ICICIBANK.NS,BUY,TIME
1.2566,0.7987,0.044,0.1572,-0.0053,897090.0,0.8634,1,1,1,2024-08-27,INFY.NS,BUY,TIME
0.5853,0.8182,0.0256,0.1563,0.091,0.0,0.0,1,0,0,2024-08-27,RELIANCE.NS,SELL,TIME
0.9164,0.6781,0.0142,0.3077,0.2555,772706.0,0.7436,2,1,1,2024-08-28,INFY.NS,BUY,TARGET
0.4518,0.2214,0.583,0.1956,0.2016,733481.0,0.5322,2,0,0,2024-08-28,RELIANCE.NS,SELL,TARGET
1.0253,0.3205,0.6083,0.0712,0.5603,11849705.0,5.1549,4,0,3,2024-08-30,HDFCBANK.NS,SELL,TARGET
1.7269,0.511,0.3359,0.1531,0.5488,4958153.0,3.5976,4,0,0,2024-08-30,RELIANCE.NS,SELL,TIME
1.406,0.8102,0.0039,0.1859,-0.2682,490552.0,1.3883,4,1,2,2024-08-30,TCS.NS,BUY,TIME
0.6747,0.0182,0.2091,0.7727,0.8646,0.0,0.0,0,0,3,2024-09-02,HDFCBANK.NS,SELL,TIME
0.8419,0.1424,0.8394,0.0182,-0.2105,0.0,0.0,0,1,1,2024-09-02,INFY.NS,BUY,TIME
0.9439,0.8543,0.0,0.1457,0.5567,0.0,0.0,0,0,2,2024-09-02,TCS.NS,SELL,TIME
0.3857,0.0159,0.5079,0.4762,0.246,0.0,0.0,1,1,3,2024-09-03,HDFCBANK.NS,BUY,STOP
0.5132,0.6032,0.0556,0.3413,-0.5285,0.0,0.0,1,1,4,2024-09-03,ICICIBANK.NS,BUY,STOP
0.7628,0.1987,0.0,0.8013,0.1072,0.0,0.0,1,0,1,2024-09-03,INFY.NS,SELL,STOP
0.5103,0.0712,0.7929,0.1359,-0.1418,0.0,0.0,1,0,0,2024-09-03,RELIANCE.NS,SELL,TIME
0.8194,0.6815,0.172,0.1465,0.3407,0.0,0.0,3,0,1,2024-09-05,INFY.NS,SELL,STOP
0.6964,0.3507,0.5592,0.09,0.2408,1276364.0,0.9261,3,0,0,2024-09-05,RELIANCE.NS,SELL,TARGET
0.776,0.1,0.5684,0.3316,-0.5666,2608407.0,1.5194,4,0,4,2024-09-06,ICICIBANK.NS,SELL,TARGET
1.5469,0.4475,0.4475,0.1051,-0.5018,1105057.0,1.0635,4,0,1,2024-09-06,INFY.NS,SELL,TIME
1.1971,0.2788,0.6866,0.0346,0.1307,421107.0,1.1918,4,0,2,2024-09-06,TCS.NS,SELL,TIME
0.6557,0.3163,0.2465,0.4372,-0.1984,0.0,0.0,0,1,3,2024-09-09,HDFCBANK.NS,BUY,TIME
1.5453,0.6976,0.2228,0.0796,-0.5788,0.0,0.0,0,1,4,2024-09-09,ICICIBANK.NS,BUY,TIME
1.1169,0.6674,0.2108,0.1218,-0.5909,0.0,0.0,0,1,1,2024-09-09,INFY.NS,BUY,STOP
1.0877,0.1271,0.494,0.3789,0.4909,927218.0,0.8923,1,1,1,2024-09-10,INFY.NS,BUY,TIME
0.3421,0.035,0.275,0.69,0.2052,716292.0,0.5197,2,0,0,2024-09-11,RELIANCE.NS,SELL,STOP
0.5809,0.1243,0.3614,0.5143,0.2274,288709.0,0.8171,2,0,2,2024-09-11,TCS.NS,SELL,STOP
0.8106,0.3086,0.3643,0.3271,0.4623,0.0,0.0,3,1,3,2024-09-12,HDFCBANK.NS,BUY,TIME
0.5782,0.1847,0.527,0.2883,0.7774,1017975.0,0.9797,3,0,1,2024-09-12,INFY.NS,SELL,STOP
0.932,0.7122,0.1882,0.0995,0.6385,394042.0,1.1152,3,0,2,2024-09-12,TCS.NS,SELL,TARGET
1.0598,0.3745,0.2772,0.3483,0.2203,0.0,0.0,0,1,4,2024-09-16,ICICIBANK.NS,BUY,TIME
0.4647,0.2153,0.4161,0.3686,0.2901,0.0,0.0,0,0,0,2024-09-16,RELIANCE.NS,SELL,TARGET
